City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
3,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
4,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
9,Cabo San Lucas,MX,86.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
10,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
14,Grand Gaube,MU,79.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
17,Pran Buri,TH,77.76,broken clouds,12.3847,99.9098,Waterside Resort
18,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
26,Rikitea,PF,78.49,light rain,-23.1203,-134.9692,People ThankYou
29,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
31,Trairi,BR,78.58,overcast clouds,-3.2778,-39.2689,janelas do mar
35,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
38,Bilma,NE,85.86,few clouds,18.6853,12.9164,Expeditions Ténére voyages
40,Mattru,SL,78.19,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
41,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Caravelas,BR,77.52,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
49,Quelimane,MZ,80.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
51,Kahului,US,76.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
56,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
58,Palu,ID,76.33,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
60,Biak,ID,78.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
63,San Policarpo,PH,79.7,overcast clouds,12.1791,125.5072,Agapita M. Nicart
71,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
72,Punta Cardon,VE,79.0,scattered clouds,11.6581,-70.215,Bambuda hotel
73,Atuona,PF,79.41,few clouds,-9.8,-139.0333,Villa Enata
