City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Porto Novo,BJ,6.4965,2.6036,82.22,81,87,6.53,overcast clouds
1,Knysna,ZA,-34.0363,23.0471,56.79,82,18,6.35,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,44.71,81,40,6.91,scattered clouds
3,Vaini,TO,-21.2,-175.2,84.36,79,40,6.91,scattered clouds
4,Kapaa,US,22.0752,-159.319,82.38,84,95,5.01,moderate rain
5,Buraydah,SA,26.326,43.975,75.65,19,0,9.33,clear sky
6,Mar Del Plata,AR,-38.0023,-57.5575,64.09,91,0,2.3,clear sky
7,Yellowknife,CA,62.456,-114.3525,14.56,48,20,9.22,few clouds
8,Albany,US,42.6001,-73.9662,40.64,89,100,2.3,light rain
9,Cabo San Lucas,MX,22.8909,-109.9124,86.61,42,100,10.27,overcast clouds
10,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,16.11,scattered clouds
11,Barrow,US,71.2906,-156.7887,6.82,72,0,21.85,clear sky
12,Mandalgovi,MN,45.7625,106.2708,34.47,52,100,13.6,overcast clouds
13,Flin Flon,CA,54.7682,-101.865,30.04,34,100,5.75,overcast clouds
14,Grand Gaube,MU,-20.0064,57.6608,79.2,86,19,5.99,few clouds
15,Usinsk,RU,65.9939,57.5281,15.01,95,53,5.57,broken clouds
16,Bredasdorp,ZA,-34.5322,20.0403,57.07,79,0,8.3,clear sky
17,Pran Buri,TH,12.3847,99.9098,77.76,82,56,3.22,broken clouds
18,Souillac,MU,-20.5167,57.5167,79.18,83,75,8.05,broken clouds
19,Ribeira Grande,PT,38.5167,-28.7,60.1,77,22,17.02,few clouds
20,Busselton,AU,-33.65,115.3333,56.93,72,21,8.86,few clouds
21,Qaanaaq,GL,77.484,-69.3632,-15.54,78,40,6.04,scattered clouds
22,Bluff,NZ,-46.6,168.3333,50.81,65,90,6.38,overcast clouds
23,Hobart,AU,-42.8794,147.3294,62.26,85,0,1.14,clear sky
24,Goderich,CA,43.7501,-81.7165,34.92,64,59,8.05,broken clouds
25,Pevek,RU,69.7008,170.3133,7.5,91,100,6.22,overcast clouds
26,Rikitea,PF,-23.1203,-134.9692,78.49,70,7,13.67,light rain
27,Constitucion,CL,-35.3333,-72.4167,54.12,82,3,7.49,clear sky
28,Prince Rupert,CA,54.3161,-130.3201,48.29,43,0,9.22,clear sky
29,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,75,8.05,light rain
30,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,66,20,5.75,few clouds
31,Trairi,BR,-3.2778,-39.2689,78.58,81,100,4.88,overcast clouds
32,Tikapur,NP,28.5,81.1333,73.63,21,0,5.01,clear sky
33,Jamestown,US,42.097,-79.2353,43.52,43,20,17.27,few clouds
34,Port Alfred,ZA,-33.5906,26.891,61.18,89,100,10.74,overcast clouds
35,Georgetown,MY,5.4112,100.3354,80.53,93,20,2.3,few clouds
36,Upernavik,GL,72.7868,-56.1549,-10.84,95,29,10.92,scattered clouds
37,New Norfolk,AU,-42.7826,147.0587,61.92,65,100,3.58,overcast clouds
38,Bilma,NE,18.6853,12.9164,85.86,10,17,9.44,few clouds
39,Ushuaia,AR,-54.8,-68.3,40.66,52,0,5.75,clear sky
40,Mattru,SL,7.6244,-11.8332,78.19,78,87,2.06,overcast clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,80.56,82,75,8.41,broken clouds
42,Nizhnyaya Tavda,RU,57.6731,66.1725,32.27,85,37,8.77,scattered clouds
43,Hermanus,ZA,-34.4187,19.2345,57.79,78,2,16.78,clear sky
44,Sisimiut,GL,66.9395,-53.6735,18.91,65,26,7.29,scattered clouds
45,Cape Town,ZA,-33.9258,18.4232,59.92,70,0,11.99,clear sky
46,Caravelas,BR,-17.7125,-39.2481,77.52,67,100,11.12,overcast clouds
47,Provideniya,RU,64.3833,-173.3,32.31,91,91,12.55,light snow
48,Kyabe,TD,9.4515,18.9449,88.23,32,15,3.98,few clouds
49,Quelimane,MZ,-17.8786,36.8883,80.55,89,75,5.75,broken clouds
50,Chuy,UY,-33.6971,-53.4616,59.47,80,40,6.24,scattered clouds
51,Kahului,US,20.8947,-156.47,76.84,84,100,1.99,overcast clouds
52,Kodinsk,RU,58.6881,99.1844,37.36,98,100,4.94,overcast clouds
53,Krasnaya Gorka,RU,55.1962,56.6673,30.18,84,48,1.92,scattered clouds
54,Stepnyak,KZ,52.8339,70.7803,48.88,64,99,5.91,overcast clouds
55,Port Elizabeth,ZA,-33.918,25.5701,62.89,81,20,9.22,few clouds
56,Mahebourg,MU,-20.4081,57.7,79.09,83,75,8.05,broken clouds
57,Aswan,EG,24.0934,32.907,85.3,12,0,5.75,clear sky
58,Palu,ID,-0.8917,119.8707,76.33,95,100,2.28,overcast clouds
59,Airai,TL,-8.9266,125.4092,63.95,85,54,1.61,broken clouds
60,Biak,ID,-0.9131,122.8766,78.3,83,89,2.3,overcast clouds
61,Torit,SS,4.4133,32.5678,69.4,83,96,2.3,overcast clouds
62,Taltal,CL,-25.4,-70.4833,62.49,77,22,5.86,few clouds
63,San Policarpo,PH,12.1791,125.5072,79.7,82,97,7.31,overcast clouds
64,Novyy Urengoy,RU,66.0833,76.6333,12.4,92,100,16.51,overcast clouds
65,Dikson,RU,73.5069,80.5464,10.15,94,100,15.37,overcast clouds
66,Qaqortoq,GL,60.7167,-46.0333,28.4,85,6,5.21,clear sky
67,Lazarev,RU,52.225,141.5131,29.71,97,100,8.28,snow
68,Luang Prabang,LA,19.8856,102.1347,72.95,77,11,1.21,light rain
69,Vila,PT,42.0304,-8.1588,49.69,85,78,2.77,broken clouds
70,Mataura,NZ,-46.1927,168.8643,50.49,61,73,4.56,broken clouds
71,Avarua,CK,-21.2078,-159.775,80.65,78,100,9.22,overcast clouds
72,Punta Cardon,VE,11.6581,-70.215,79.0,79,25,33.51,scattered clouds
73,Atuona,PF,-9.8,-139.0333,79.41,79,18,15.79,few clouds
74,East London,ZA,-33.0153,27.9116,62.1,80,100,7.92,light rain
