City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bac Lieu,9.285,105.7244,86.38,66,79,10.2,VN,2022-04-16 03:47:45
1,Sobolevo,54.4299,31.8996,35.08,84,100,14.61,RU,2022-04-16 03:47:46
2,Busselton,-33.65,115.3333,72.66,52,65,12.93,AU,2022-04-16 03:47:46
3,Vaini,-21.2,-175.2,84.36,65,75,8.05,TO,2022-04-16 03:47:47
4,Bani Walid,31.7566,13.9942,58.86,79,77,12.75,LY,2022-04-16 03:47:47
5,Butaritari,3.0707,172.7902,81.81,73,55,10.67,KI,2022-04-16 03:47:47
6,Manono,-7.3,27.4167,68.34,99,100,2.48,CD,2022-04-16 03:47:48
7,Vila Franca Do Campo,37.7167,-25.4333,55.81,88,17,3.06,PT,2022-04-16 03:47:48
8,Avarua,-21.2078,-159.775,82.45,78,27,1.14,CK,2022-04-16 03:47:48
9,Sambava,-14.2667,50.1667,77.94,86,55,9.48,MG,2022-04-16 03:47:49
10,Ulaanbaatar,47.9077,106.8832,42.93,31,20,6.71,MN,2022-04-16 03:47:49
11,Bluff,-46.6,168.3333,54.81,66,31,30.33,NZ,2022-04-16 03:47:50
12,Jamestown,42.097,-79.2353,49.59,69,100,6.91,US,2022-04-16 03:44:31
13,Flinders,-34.5833,150.8552,74.48,66,52,4.83,AU,2022-04-16 03:47:50
14,Bathsheba,13.2167,-59.5167,79.41,78,40,24.16,BB,2022-04-16 03:47:51
15,Hermanus,-34.4187,19.2345,56.8,64,53,15.99,ZA,2022-04-16 03:47:51
16,Buzmeyin,38.0507,58.2056,60.53,59,75,11.5,TM,2022-04-16 03:47:51
17,Toccoa,34.5773,-83.3324,60.21,63,0,0.0,US,2022-04-16 03:47:52
18,Upernavik,72.7868,-56.1549,-18.38,98,32,6.2,GL,2022-04-16 03:47:52
19,Kapaa,22.0752,-159.319,80.58,84,75,19.57,US,2022-04-16 03:47:53
20,Russell,32.3502,-85.1999,67.23,84,0,0.0,US,2022-04-16 03:45:29
21,Saskylakh,71.9167,114.0833,6.87,89,41,10.83,RU,2022-04-16 03:47:53
22,Hobart,-42.8794,147.3294,68.22,61,75,8.05,AU,2022-04-16 03:47:54
23,Cape Town,-33.9258,18.4232,58.91,68,0,15.99,ZA,2022-04-16 03:47:22
24,Rikitea,-23.1203,-134.9692,77.76,71,1,14.12,PF,2022-04-16 03:47:54
25,Saldanha,-33.0117,17.9442,53.65,62,1,14.03,ZA,2022-04-16 03:47:54
26,Hilo,19.7297,-155.09,78.28,90,75,8.05,US,2022-04-16 03:47:31
27,Ouadda,8.0777,22.4007,67.96,96,89,3.8,CF,2022-04-16 03:47:55
28,Ushuaia,-54.8,-68.3,42.46,70,75,31.07,AR,2022-04-16 03:44:31
29,Asau,46.4333,26.4,43.95,98,98,1.39,RO,2022-04-16 03:47:55
30,Bimbo,4.2567,18.4158,73.33,94,87,0.0,CF,2022-04-16 03:47:56
31,Mataura,-46.1927,168.8643,54.48,60,27,12.37,NZ,2022-04-16 03:47:56
32,Tecoanapa,16.5167,-98.75,80.42,68,100,4.07,MX,2022-04-16 03:47:57
33,Saint-Philippe,-21.3585,55.7679,75.22,85,51,15.01,RE,2022-04-16 03:46:50
34,Kushima,31.4583,131.2333,66.9,44,95,7.23,JP,2022-04-16 03:47:57
35,Bethel,41.3712,-73.414,58.64,45,9,8.99,US,2022-04-16 03:47:58
36,Dawei,14.0833,98.2,92.37,52,15,7.2,MM,2022-04-16 03:47:58
37,Arraial Do Cabo,-22.9661,-42.0278,71.22,72,3,21.99,BR,2022-04-16 03:45:42
38,Yellowknife,62.456,-114.3525,16.32,53,75,5.75,CA,2022-04-16 03:47:58
